x,y,z
-19.8465,15.05538,83
-17.8838,14.91836,36
-17.8838,15.1491,78
-20.8327,15.14952,78
-20.6022,14.96572,47
-19.361,15.00788,56
-17.3519,14.95171,54
-16.3542,14.92497,8
-21.198,15.13659,92
-19.9786,15.159,32
-21.6407,15.18402,27
-18.4495,15.01726,71
-17.2522,14.91289,28
-19.5797,14.92818,39
-16.6886,14.88143,80
-16.6882,14.88233,13
-21.4099,15.1477,16
-18.3889,14.84361,12
-20.7725,15.19259,58
-17.2964,14.91026,69
-16.3102,14.99864,12
-19.2941,14.88548,52
-19.3675,14.88199,7
-21.5564,15.1785,32
-18.5515,14.83307,72
-16.3793,14.96997,71
-15.8276,14.94483,97
-19.4671,15.06739,22
-16.7365,14.83385,6
-16.7321,14.8806,54
-17.2881,14.82302,21
-19.7319,15.09028,72
-16.0434,15.01711,67
-21.5936,15.04636,99
-21.5377,15.263,22
-18.5591,14.85017,85
-16.4763,14.83614,42
-15.9271,15.01962,4
-18.286,14.84885,66
-16.6709,14.92547,86
-16.5997,14.92356,24
-21.4056,15.19535,59
-20.5446,15.14908,52
-17.6955,14.8848,20
-15.865,14.95928,95
-22.7035,15.19372,33
-19.2799,14.99426,83
-17.3334,14.81769,36
-19.6819,15.10729,78
-19.3059,15.0015,78
-15.7984,14.94568,47
-17.0251,14.86847,56
-22.116,15.14787,54
-17.8139,14.87689,8
-21.809,15.1591,92
-21.0203,15.11203,32
-21.4021,15.24121,27
-20.9563,15.16499,71
-17.8728,14.80144,28
-15.588,14.89589,39
-20.3266,15.0804,80
-18.2567,14.81373,13
-21.5743,15.05892,16
-15.7499,14.92312,12
-20.5256,15.16074,58
-18.0503,14.86197,69
-19.3459,15.00965,12
-16.0914,14.96952,52
-21.0912,15.18858,33
-17.9323,14.86898,83
-19.0458,14.89409,36
-22.4558,15.20054,78
-20.1846,15.22136,78
-21.0248,15.17409,47
-18.1786,14.79293,56
-17.8436,14.8023,54
-15.6758,14.9284,8
-20.8464,15.15134,92
-19.3462,15.00875,32
-15.6165,14.89684,27
-19.361,15.00788,71
-16.9718,14.92953,28
-20.2383,15.12163,39
-17.626,14.84243,80
-16.7361,14.83474,13
-16.8203,14.87624,16
-19.8869,15.06264,12
-19.4628,14.9325,58
-16.7994,14.92837,69
-16.662,14.87599,12
-16.7653,14.83389,52
-20.6229,14.98643,33
-18.6404,14.82691,83
-17.3331,14.81859,36
-18.578,14.80254,78
-20.2664,14.97689,78
-17.3755,14.82045,47
-20.1527,15.08283,56
-19.279,14.88725,54
-18.2712,14.84972,8
-17.0837,14.86586,92
-16.0578,15.01713,32
-16.1495,14.8608,27
-19.7795,15.11553,71
-18.8655,14.87672,28
-15.7341,14.9267,39
-18.7321,14.92238,80
-17.3897,14.96526,13
-20.4204,15.20824,16
-20.4365,15.09406,12
-20.9282,15.16315,58
-17.8456,14.90572,69
-18.6209,15.02112,12
-18.5633,14.80341,52
-18.4611,14.80685,33
-17.2792,14.95339,83
-19.1112,14.94724,36
-17.391,14.85375,78
-19.4273,15.09521,78
